,asset,sim_name,scen_id,std_unit,w_sharp,sharp_ratio_3m,sharp_ratio_6m,sharp_ratio_1y,sharp_ratio_2y,sharp_ratio_3y,tot_pnl_3m,tot_pnl_6m,tot_pnl_1y,tot_pnl_2y,tot_pnl_3y,tot_cost_3m,tot_cost_6m,tot_cost_1y,tot_cost_2y,tot_cost_3y,par_name0,par_value0,par_name1,par_value1,par_name2,par_value2,par_name3,par_value3,par_name4,par_value4,freq,channels,ma_chan,price_mode,lookbacks,ratios,trend_factor,lot_size,min_rng,vol_ratio,volumes
38,rb,DTsplit_180214,0,640.619,1.5342452,-0.16758,0.233866,1.55887,2.15981,1.78778,-34.0,117.0,1579.0,4197.0,4348.0,167.0,319.0,593.0,1111.0,1650.0,param,"[0.5, 0, 0.5, 0.5]",machan,0,mode,HL,,0,,0,1,0,0,HL,0,0.5,0.5,10,0.0035,"[1.0, 0.0]",[1]
39,rb,DTsplit_180214,106,634.354,1.5337866,0.428552,0.837113,1.32302,2.09289,1.92279,82.0,395.0,1327.0,4329.0,4960.0,99.0,187.0,377.0,731.0,1050.0,param,"[0.35, 2, 0.5, 0.5]",machan,20,mode,HL,,0,,0,1,0,20,HL,2,0.35,0.5,10,0.0035,"[1.0, 0.0]",[1]
40,rb,DTvec_dchan_180214,118,480.4,1.2255166,-0.306009,0.551023,1.43236,1.35592,1.1549,-38.0,177.0,1088.0,2050.0,2175.0,67.0,126.0,243.0,478.0,718.0,param,"[0.2, 2, 0.5, 0.0]",chan,21,mode,HL,,0,,0,1,21,0,HL,2,0.2,0.5,10,0.0035,"[0.0, 1.0]",[1]
41,rb,DTvec_pct10_180214,59,489.853,1.2229074,-0.262152,0.803877,1.39439,1.26094,1.11281,-33.0,261.0,1080.0,1960.0,2151.0,57.0,104.0,199.0,408.0,606.0,param,"[0.2, 2, 0.5, 0.0]",chan,21,mode,TP,,0,,0,1,21,0,TP,2,0.2,0.5,10,0.0035,"[0.0, 1.0]",[1]
42,rb,DTvec_pct10_180214,56,472.683,1.2057888,0.354661,0.385824,1.15202,1.66954,1.54042,46.0,130.0,861.0,2604.0,2993.0,68.0,130.0,251.0,490.0,734.0,param,"[0.2, 2, 0.5, 0.0]",chan,11,mode,HL,,0,,0,1,11,0,HL,2,0.2,0.5,10,0.0035,"[0.0, 1.0]",[1]
43,rb,DTvec_pct10_180214,58,475.562,1.1415808,-0.0237996,0.773964,1.16366,1.30331,1.16321,-3.0,249.0,875.0,2002.0,2224.0,69.0,128.0,247.0,482.0,722.0,param,"[0.2, 2, 0.5, 0.0]",chan,21,mode,HL,,0,,0,1,21,0,HL,2,0.2,0.5,10,0.0035,"[0.0, 1.0]",[1]
44,rb,DTvec_pct25_180214,58,479.901,1.0963484,0.713267,0.394962,1.0398,1.50359,1.37871,84.0,133.0,789.0,2367.0,2699.0,68.0,130.0,251.0,486.0,726.0,param,"[0.2, 2, 0.5, 0.0]",chan,21,mode,HL,,0,,0,1,21,0,HL,2,0.2,0.5,10,0.0035,"[0.0, 1.0]",[1]
45,rb,DTvec_pct10_180214,63,497.18,1.03843,-1.07497,-0.05631,1.21992,1.40431,1.29506,-135.0,-19.0,959.0,2214.0,2546.0,53.0,96.0,173.0,340.0,504.0,param,"[0.25, 2, 0.5, 0.0]",chan,21,mode,TP,,0,,0,1,21,0,TP,2,0.25,0.5,10,0.0035,"[0.0, 1.0]",[1]
46,rb,DTvec_dchan_180214,116,471.953,1.025406,0.300987,0.20543,0.96217,1.49863,1.3374,36.0,69.0,718.0,2340.0,2598.0,66.0,128.0,249.0,488.0,734.0,param,"[0.2, 2, 0.5, 0.0]",chan,11,mode,HL,,0,,0,1,11,0,HL,2,0.2,0.5,10,0.0035,"[0.0, 1.0]",[1]
47,rb,DTvec_dchan_180214,62,482.182,1.010769,-1.65859,0.242025,1.10703,1.29888,1.19413,-214.0,78.0,844.0,1963.0,2250.0,51.0,84.0,159.0,316.0,460.0,param,"[0.5, 1, 0.5, 0.0]",chan,21,mode,HL,,0,,0,1,21,0,HL,1,0.5,0.5,10,0.0035,"[0.0, 1.0]",[1]
